city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Nootdorp,2022-05-20,2631 DL ,450000,Zegge 38,https://mijn.makelaarsland.nl/woning-details/2771000,Voorzien van elektra,,,"Ligbad, toilet",1,1990.0,Bestaande bouw,In overleg,6,,,"Nefit Proline uit 2005, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,110,"Aan rustige weg, In woonwijk, Vrij uitzicht",,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,389,Cv-ketel
Driebergen-Rijsenburg,2022-05-20,3972 RL ,800000,Aalscholver 111,https://mijn.makelaarsland.nl/woning-details/2770998,Elektra,,Dakterras aanwezig,"Ligbad, 2 douches",2,1995.0,Bestaande bouw,In overleg,7,,,"Intergas uit 2013, Eigendom",Cv-ketel,Volledig geïsoleerd,,,,,,,186,"Aan park, Aan rustige weg, In woonwijk, Open ligging, In bosrijke omgeving",14,,Plat dak bedekt met bitumineuze dakbedekking,6,Beschikbaar,705,Cv-ketel
Obdam,2022-05-20,1713 HL ,275000,Burgemeester De Nijsplein 15,https://mijn.makelaarsland.nl/woning-details/2770997,Voorzien van elektra,"Appartement, Galerijflat",Balkon aanwezig,Douche,1,2002.0,Bestaande bouw,In overleg,6,1e woonlaag,1,"AWB uit 2002, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",Ja,90,Ja,Ja,Ja,Ja,90,"In centrum, Beschutte ligging",5,Openbaar parkeren,Plat dak,3,Beschikbaar,290,Cv-ketel
Zevenbergen,2022-05-20,4761 AG ,635000,Prinses Beatrixstraat 12,https://mijn.makelaarsland.nl/woning-details/2770996,"Elektra, Elektrische deur",,Balkon aanwezig,"Ligbad, douche, toilet",1,1956.0,Bestaande bouw,In overleg,5,,,"Remeha Tzerra uit 2018, Eigendom","Cv-ketel, Gashaard",Geen isolatie,,,,,,,164,"Aan park, Aan rustige weg, In centrum, In woonwijk",23,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,5,Beschikbaar,707,Cv-ketel
Beek,2022-05-20,6191 HZ ,389000,Bourgognestraat 36,https://mijn.makelaarsland.nl/woning-details/2770994,"Voorzien van verwarming, Voorzien van elektra, Voorzien van water",,,,,,Bestaande bouw,In overleg,4,,,"Nefit uit 2001, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Dubbel glas",,,,,,,136,In woonwijk,,Op eigen terrein,Zadeldak bedekt met pannen,12,Beschikbaar,502,Cv-ketel
Balkbrug,2022-05-20,7707 RH ,550000,Westerhuizingerweg 2,https://mijn.makelaarsland.nl/woning-details/2771054,Elektra,,,Douche,1,1921.0,Bestaande bouw,In overleg,144,,,"Remeha uit 2017, Eigendom","Cv-ketel, Vloerverwarming gedeeltelijk",Geen isolatie,,,,,,,153,"Aan rustige weg, Buiten bebouwde kom, In bosrijke omgeving",,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,668,Cv-ketel
Gemert,2022-05-20,5421 NJ ,839000,Pandelaar 112,https://mijn.makelaarsland.nl/woning-details/2771053,"Verwarming, Elektra, Vliering",,,"Ligbad, douche, toilet",1,1979.0,Bestaande bouw,In overleg,107,,,"Nefit HR uit 2019, Eigendom","Cv-ketel, Openhaard","Dakisolatie, Muurisolatie, Vloerisolatie",,,,,,,255,Aan rustige weg,12,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,9,Beschikbaar,982,Cv-ketel
Amsterdam,2022-05-20,1075 CW ,1695,Koninginneweg 265 1-3,https://mijn.makelaarsland.nl/woning-details/2771051,Sauna,"Appartement, Bovenwoning, Dubbel bovenhuis","Dakterras aanwezig, balkon aanwezig","Ligbad, douche",2,1907.0,Bestaande bouw,In overleg,,0e woonlaag,3,,"Cv-ketel, Vloerverwarming gedeeltelijk",,Ja,,Ja,Ja,Ja,Ja,217,,57,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen",,7,Beschikbaar,635,Cv-ketel
Tilburg,2022-05-20,5022 GB ,1495,Hilvarenbeekseweg 9,https://mijn.makelaarsland.nl/woning-details/2771050,Elektra,,Dakterras aanwezig,"Jacuzzi, 2 douches",2,1981.0,Bestaande bouw,In overleg,39,,,,Elektrische verwarming,Volledig geïsoleerd,,,,,,,284,"Vrij uitzicht, Buiten bebouwde kom",87,"Op eigen terrein, Op afgesloten terrein",Schilddak bedekt met riet,9,Beschikbaar,1016,Gasboiler eigendom
Hardenberg,2022-05-20,7772 LL ,350000,Floralaan 14,https://mijn.makelaarsland.nl/woning-details/2771048,"Voorzien van verwarming, Voorzien van elektra, Voorzien van water",,,Toilet,1,1989.0,Bestaande bouw,In overleg,5,,,"Nefit Topline uit 2007, Eigendom",Cv-ketel,Volledig geïsoleerd,,,,,,,183,In woonwijk,37,Op eigen terrein,Zadeldak bedekt met pannen,7,Beschikbaar,647,Cv-ketel
