city,date,postal_code,price,streetname,url,amenities,appartment_type,balcony_terrace,bathroom_amenities,bathrooms_amount,build_year,construction_type,delivery,external_storage,floor,floors_amount,heating_type,heating,isolation,kvk_insurance,kvk_monthly_payment,kvk_registration,kvk_repair_plan,kvk_reserve_funds,kvk_yearly_meeting,living_size,location,outside_size,parking,roof,rooms_amount,status,volume,warm_water
Rijsbergen,2022-05-25,4891 CH ,269000,Sint Bavostraat 51,https://mijn.makelaarsland.nl/woning-details/2775863,Voorzien van elektra,,,Toilet,1,1950.0,Bestaande bouw,In overleg,12,,,"Nefit Trendline HRC uit 2015, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Dubbel glas, HR-glas",,,,,,,78,,,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,280,Cv-ketel
Maastricht,2022-05-25,6228 AZ ,325000,Cajersborg 16,https://mijn.makelaarsland.nl/woning-details/2775862,Voorzien van elektra,,,Toilet,1,1977.0,Bestaande bouw,In overleg,7,,,"AWB HR+ uit 2003, Huur",Cv-ketel,"Dakisolatie, Dubbel glas",,,,,,,115,"Aan rustige weg, In woonwijk, Beschutte ligging",11,"Openbaar parkeren, Op eigen terrein",Zadeldak,5,Beschikbaar,385,Cv-ketel
Alphen aan den Rijn,2022-05-25,2401 VB ,185000,Vliestroom 73 a,https://mijn.makelaarsland.nl/woning-details/2775860,,"Appartement, Galerijflat",Balkon aanwezig,"Douche, toilet",1,1972.0,Bestaande bouw,In overleg,4,5e woonlaag,1,,Blokverwarming,Dubbel glas,Ja,155,Ja,Ja,Ja,Ja,45,"In woonwijk, Vrij uitzicht, Open ligging",7,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,2,Beschikbaar,146,Centrale Voorziening
Vlaardingen,2022-05-25,3136 LG ,225000,Holysingel 256,https://mijn.makelaarsland.nl/woning-details/2775859,Lift,"Appartement, Galerijflat",Balkon aanwezig,Douche,1,1970.0,Bestaande bouw,Direct,8,9e woonlaag,10,"Intergas HRC, Eigendom",Cv-ketel,Dubbel glas,Ja,182,Ja,Ja,Ja,Ja,99,"Aan drukke weg, In woonwijk, Vrij uitzicht",,Op eigen terrein,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,314,Cv-ketel
Rotterdam,2022-05-25,3082 PG ,250000,Zuidhoek 191 A,https://mijn.makelaarsland.nl/woning-details/2775858,TV kabel,"Appartement, Bovenwoning",,"Douche, toilet",1,1930.0,Bestaande bouw,In overleg,,2e woonlaag,2,Remeha,Cv-ketel,,Nee,,Nee,Nee,Nee,Nee,88,"Aan rustige weg, In woonwijk",,Betaald parkeren,Zadeldak bedekt met pannen,4,Beschikbaar,280,Cv-ketel
Katwijk,2022-05-25,2221 BD ,315000,Hoornesplein 97,https://mijn.makelaarsland.nl/woning-details/2775857,Natuurlijke ventilatie,"Appartement, Maisonnette","Dakterras aanwezig, balkon aanwezig","Ligbad, toilet",1,1967.0,Bestaande bouw,In overleg,5,1e woonlaag,2,"Vaillant uit 2013, Eigendom",Cv-ketel,Dubbel glas,Ja,,Ja,Ja,Ja,Ja,104,Vrij uitzicht,6,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,4,Beschikbaar,353,Cv-ketel
Venray,2022-05-25,5801 KG ,559000,Matterhornlaan 4,https://mijn.makelaarsland.nl/woning-details/2775856,"Elektra, Elektrische deur",,,"Ligbad, douche, bidet",1,1991.0,Bestaande bouw,In overleg,,,,"AWB uit 2013, Eigendom",Cv-ketel,,,,,,,,211,"Aan bosrand, Aan rustige weg, In woonwijk",35,"Openbaar parkeren, Op eigen terrein",Zadeldak,7,Beschikbaar,920,Cv-ketel
Almere,2022-05-25,1317 JL ,385000,Snoekstraat 15,https://mijn.makelaarsland.nl/woning-details/2775854,Voorzien van elektra,,,"Douche, toilet",1,1983.0,Bestaande bouw,In overleg,6,,,,Stadsverwarming,Geen isolatie,,,,,,,110,In woonwijk,,Openbaar parkeren,Zadeldak bedekt met pannen,5,Beschikbaar,376,Centrale Voorziening
Montfoort,2022-05-25,3417 LC ,449750,Dotterbloem 31,https://mijn.makelaarsland.nl/woning-details/2775853,Voorzien van elektra,,,,,2011.0,Bestaande bouw,In overleg,10,,,,Warmtepomp,Volledig geïsoleerd,,,,,,,129,In woonwijk,,Openbaar parkeren,Zadeldak bedekt met pannen,6,Beschikbaar,510,
's-Gravenhage,2022-05-25,2548 HZ ,485000,Orlandostraat 52,https://mijn.makelaarsland.nl/woning-details/2775852,,,,"Ligbad, douche",1,2007.0,Bestaande bouw,In overleg,6,,,,Stadsverwarming,"Dubbel glas, Volledig geïsoleerd",,,,,,,134,,,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,5,Beschikbaar,465,Stadsverwarming
Warmond,2022-05-25,2361 XA ,850000,Vlietwei 121,https://mijn.makelaarsland.nl/woning-details/2775851,"Mechanische ventilatie, Schuifpui",,Balkon aanwezig,"Ligbad, 2 douches, 2 toiletten",2,1976.0,Bestaande bouw,In overleg,12,,,"Intergas uit 2022, Eigendom",Cv-ketel,"Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas, HR-glas",,,,,,,150,In woonwijk,9,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,6,Beschikbaar,490,Cv-ketel
Oss,2022-05-23,5343 VM ,280000,Verdistraat 274,https://mijn.makelaarsland.nl/woning-details/2773028,,,,"Ligbad, toilet",1,1971.0,Bestaande bouw,In overleg,,,,,,,,,,,,,109,In woonwijk,,Openbaar parkeren,,5,Beschikbaar,368,
Gieten,2022-05-23,9461 BS ,575000,Julianalaan 37,https://mijn.makelaarsland.nl/woning-details/2773027,"Rookkanaal, Dakraam",,,"Ligbad, douche, toilet",1,1986.0,Bestaande bouw,In overleg,,,,"Intergas Combi compact HRE RAFII 36/30 A 80-80 uit 2021, Eigendom","Cv-ketel, Vloerverwarming gedeeltelijk","Dakisolatie, Muurisolatie, Vloerisolatie, Dubbel glas",,,,,,,170,"Aan rustige weg, In woonwijk, Beschutte ligging, In bosrijke omgeving",5,,Zadeldak bedekt met pannen,6,Beschikbaar,705,Cv-ketel
Amsterdam,2022-05-23,1017 LG ,399000,Prinsengracht 788 2,https://mijn.makelaarsland.nl/woning-details/2773026,,"Appartement, Tussenverdieping",,"Ligbad, douche, toilet",1,1885.0,Bestaande bouw,In overleg,,1e woonlaag,1,"Intergas uit 2020, Eigendom",Cv-ketel,,Ja,80,Ja,Ja,Ja,Ja,43,"Aan water, In centrum, In woonwijk, Vrij uitzicht, Aan vaarwater",,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen",,2,Beschikbaar,151,Centrale Voorziening
Giessenburg,2022-05-23,3381 BR ,400000,Wilhelminalaan 72,https://mijn.makelaarsland.nl/woning-details/2773025,"Elektra, Water",,,"Ligbad, douche, toilet",1,1968.0,Bestaande bouw,In overleg,,,,"Intergas Kombi Kompakt HReco 30 uit 2017, Eigendom",Cv-ketel,"Muurisolatie, Dubbel glas",,,,,,,102,"Aan rustige weg, In woonwijk",8,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,5,Beschikbaar,352,Cv-ketel
Bavel,2022-05-23,4854 GK ,750000,Duivenlaar 22,https://mijn.makelaarsland.nl/woning-details/2773023,"Verwarming, Elektra, Elektrische deur",,,"Ligbad, 2 douches, 2 toiletten",2,2004.0,Bestaande bouw,In overleg,,,,"Atag uit 2015, Eigendom","Cv-ketel, Vloerverwarming gedeeltelijk, Gashaard",Volledig geïsoleerd,,,,,,,193,"Aan rustige weg, In woonwijk",1,Op eigen terrein,Zadeldak bedekt met pannen,5,Beschikbaar,761,Cv-ketel
's-Gravenhage,2022-05-23,2571 BC ,524500,Loosduinseweg 1075,https://mijn.makelaarsland.nl/woning-details/2773022,"Mechanische ventilatie, TV kabel","Appartement, Bovenwoning",Dakterras aanwezig,"Ligbad, 2 douches",2,1926.0,Bestaande bouw,Direct,,2e woonlaag,2,"Intergas uit 2016, Eigendom",Cv-ketel,Volledig geïsoleerd,Ja,,Ja,Ja,Ja,Ja,162,"Aan water, Aan drukke weg, In woonwijk, Vrij uitzicht",16,"Openbaar parkeren, Betaald parkeren, Parkeervergunningen","Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",6,Beschikbaar,627,Cv-ketel
Amstelhoek,2022-05-23,1427 BH ,395000,Schoolstraat 14,https://mijn.makelaarsland.nl/woning-details/2773021,Voorzien van elektra,"Appartement, Portiekflat",Balkon aanwezig,"Ligbad, douche",1,1999.0,Bestaande bouw,In overleg,6,2e woonlaag,1,,Cv-ketel,"Dubbel glas, Volledig geïsoleerd",Ja,,Ja,Ja,Ja,Ja,90,In woonwijk,9,Openbaar parkeren,Plat dak bedekt met bitumineuze dakbedekking,3,Beschikbaar,278,Cv-ketel
Zwijndrecht,2022-05-23,3331 AS ,550000,Willem-Alexanderhof 19,https://mijn.makelaarsland.nl/woning-details/2773020,Voorzien van elektra,,,"Ligbad, douche, toilet",2,1991.0,Bestaande bouw,In overleg,,,,"Nefit Ecomline HR uit 2004, Eigendom",Cv-ketel,Volledig geïsoleerd,,,,,,,158,"In woonwijk, Beschutte ligging",5,"Openbaar parkeren, Op eigen terrein","Zadeldak bedekt met pannen, bitumineuze dakbedekking",5,Beschikbaar,600,Cv-ketel
Heiloo,2022-05-23,1852 AH ,750000,Westerweg 283,https://mijn.makelaarsland.nl/woning-details/2773019,"Verwarming, Elektra, Water",,,Toilet,1,1915.0,Bestaande bouw,In overleg,21,,,"Gefit HR uit 2014, Eigendom",Cv-ketel,"Dakisolatie, Dubbel glas, HR-glas",,,,,,,133,,7,"Openbaar parkeren, Op eigen terrein, Op afgesloten terrein","Samengesteld dak bedekt met pannen, bitumineuze dakbedekking",4,Beschikbaar,527,Cv-ketel
Rijswijk (GLD),2022-05-23,4023 AG ,425000,Baron van Brakellstraat 3,https://mijn.makelaarsland.nl/woning-details/2773018,"Elektra, Water, Vliering",,,,,1987.0,Bestaande bouw,In overleg,13,,,"Vaillant uit 2009, Eigendom",Cv-ketel,Dubbel glas,,,,,,,129,"Aan rustige weg, In woonwijk",18,"Openbaar parkeren, Op eigen terrein",Zadeldak bedekt met pannen,4,Beschikbaar,613,Cv-ketel
Wanroij,2022-05-23,5446 PR ,849000,Hulsbeek 5,https://mijn.makelaarsland.nl/woning-details/2773017,"Rookkanaal, Glasvezel kabel, Natuurlijke ventilatie",,,"Ligbad, 2 douches, toilet",2,1954.0,Bestaande bouw,In overleg,32,,,"combiketel uit 2008, Eigendom",Cv-ketel,"Dakisolatie, Dubbel glas",,,,,,,255,Buiten bebouwde kom,26,"Openbaar parkeren, Op eigen terrein",Samengesteld dak bedekt met pannen,6,Beschikbaar,1142,Cv-ketel
Amsterdam,2022-05-23,1063 ZV ,275000,Freek Oxstraat 23 II,https://mijn.makelaarsland.nl/woning-details/2773015,,"Appartement, Portiekflat",Balkon aanwezig,Douche,1,1953.0,Bestaande bouw,In overleg,5,2e woonlaag,1,"Intergas uit 2016, Eigendom",Cv-ketel,,Ja,147,Ja,Ja,Ja,Ja,43,"Aan rustige weg, In woonwijk",5,,,2,Beschikbaar,148,Cv-ketel
Alkmaar,2022-05-23,1815 HB ,325000,Varnebroek 8,https://mijn.makelaarsland.nl/woning-details/2773014,"TV kabel, Dakraam, Glasvezel kabel, Natuurlijke ventilatie",,,Douche,1,1901.0,Bestaande bouw,In overleg,,,,"Intergas HR-combi uit 2013, Eigendom",Cv-ketel,"Dakisolatie, Grotendeels dubbelglas",,,,,,,101,"Aan park, Aan rustige weg, In centrum, Beschutte ligging",,"Parkeergarage, Parkeervergunningen",Samengesteld dak,5,Beschikbaar,325,"Cv-ketel, Geiser eigendom"
